
Balance de criminalidad. 2024 - 1er Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas
Indicadores de seguridad 2024 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-marzo 2023,enero-marzo 2024,Variación % 2024/2023,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,4.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,3.0,-25.0,
    6. Robos con violencia e intimidación,3.0,4.0,33.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,36.0,10.0,-72.2,
    7.1.-Robos con fuerza en domicilios,34.0,9.0,-73.5,
    8. Hurtos,79.0,58.0,-26.6,
    9. Sustracciones de vehículos,8.0,7.0,-12.5,
    10. Tráfico de drogas,3.0,1.0,-66.7,
    11. Resto de criminalidad convencional,178.0,179.0,0.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),84.0,80.0,-4.8,
    12.-Estafas informáticas,81.0,76.0,-6.2,
    13.-Otros ciberdelitos,3.0,4.0,33.3,
    III. TOTAL INFRACCIONES PENALES,399.0,348.0,-12.8,
11031 San Fernando,
    I. CRIMINALIDAD CONVENCIONAL,826.0,710.0,-14.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,6.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,8.0,3.0,-62.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,4.0,3.0,-25.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,3.0,-25.0,
    6. Robos con violencia e intimidación,6.0,20.0,233.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,37.0,19.0,-48.6,
    7.1.-Robos con fuerza en domicilios,9.0,9.0,0.0,
    8. Hurtos,320.0,198.0,-38.1,
    9. Sustracciones de vehículos,19.0,19.0,0.0,
    10. Tráfico de drogas,1.0,3.0,200.0,
    11. Resto de criminalidad convencional,431.0,438.0,1.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),276.0,346.0,25.4,
    12.-Estafas informáticas,243.0,308.0,26.7,
    13.-Otros ciberdelitos,33.0,38.0,15.2,
    III. TOTAL INFRACCIONES PENALES,1102.0,1056.0,-4.2,
11033 San Roque,
    I. CRIMINALIDAD CONVENCIONAL,338.0,325.0,-3.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,6.0,9.0,50.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,9.0,2.0,-77.8,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,9.0,2.0,-77.8,
    6. Robos con violencia e intimidación,1.0,5.0,400.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,13.0,27.0,107.7,
    7.1.-Robos con fuerza en domicilios,8.0,20.0,150.0,
    8. Hurtos,48.0,33.0,-31.3,
    9. Sustracciones de vehículos,4.0,6.0,50.0,
    10. Tráfico de drogas,10.0,3.0,-70.0,
    11. Resto de criminalidad convencional,247.0,239.0,-3.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),72.0,82.0,13.9,
    12.-Estafas informáticas,61.0,68.0,11.5,
    13.-Otros ciberdelitos,11.0,14.0,27.3,
    III. TOTAL INFRACCIONES PENALES,410.0,407.0,-0.7,
11032 Sanlúcar de Barrameda,
    I. CRIMINALIDAD CONVENCIONAL,722.0,578.0,-19.9,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,1.0,-80.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,9.0,125.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,6.0,3.0,-50.0,
    5.1.-Agresión sexual con penetración,1.0,0.0,-100.0,
    5.2.-Resto de delitos contra la libertad sexual,5.0,3.0,-40.0,
    6. Robos con violencia e intimidación,9.0,10.0,11.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,61.0,31.0,-49.2,
    7.1.-Robos con fuerza en domicilios,34.0,23.0,-32.4,
    8. Hurtos,174.0,157.0,-9.8,
    9. Sustracciones de vehículos,22.0,22.0,0.0,
    10. Tráfico de drogas,17.0,13.0,-23.5,
    11. Resto de criminalidad convencional,424.0,331.0,-21.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),168.0,186.0,10.7,
    12.-Estafas informáticas,146.0,162.0,11.0,
    13.-Otros ciberdelitos,22.0,24.0,9.1,
    III. TOTAL INFRACCIONES PENALES,890.0,764.0,-14.2,
Provincia de CÓRDOBA,
    I. CRIMINALIDAD CONVENCIONAL,5801.0,5876.0,1.3,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,7.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,80.0,86.0,7.5,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,49.0,59.0,20.4,
    5.1.-Agresión sexual con penetración,8.0,9.0,12.5,
    5.2.-Resto de delitos contra la libertad sexual,41.0,50.0,22.0,
    6. Robos con violencia e intimidación,103.0,95.0,-7.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,356.0,331.0,-7.0,
    7.1.-Robos con fuerza en domicilios,231.0,264.0,14.3,
    8. Hurtos,1613.0,1628.0,0.9,
    9. Sustracciones de vehículos,50.0,77.0,54.0,
    10. Tráfico de drogas,36.0,35.0,-2.8,
    11. Resto de criminalidad convencional,3506.0,3565.0,1.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1704.0,2196.0,28.9,
    12.-Estafas informáticas,1472.0,1950.0,32.5,
    13.-Otros ciberdelitos,232.0,246.0,6.0,
    III. TOTAL INFRACCIONES PENALES,7505.0,8072.0,7.6,
14013 Cabra,
    I. CRIMINALIDAD CONVENCIONAL,154.0,153.0,-0.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,7.0,4.0,-42.9,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,1.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,0.0,0.0,
    6. Robos con violencia e intimidación,1.0,0.0,-100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,15.0,5.0,-66.7,
    7.1.-Robos con fuerza en domicilios,12.0,5.0,-58.3,
    8. Hurtos,39.0,48.0,23.1,
    9. Sustracciones de vehículos,2.0,2.0,0.0,
    10. Tráfico de drogas,1.0,3.0,200.0,
    11. Resto de criminalidad convencional,89.0,90.0,1.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),42.0,65.0,54.8,
    12.-Estafas informáticas,35.0,52.0,48.6,
    13.-Otros ciberdelitos,7.0,13.0,85.7,
    III. TOTAL INFRACCIONES PENALES,196.0,218.0,11.2,
14021 Córdoba,
    I. CRIMINALIDAD CONVENCIONAL,2902.0,3122.0,7.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,30.0,26.0,-13.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,29.0,38.0,31.0,
    5.1.-Agresión sexual con penetración,3.0,5.0,66.7,
    5.2.-Resto de delitos contra la libertad sexual,26.0,33.0,26.9,
    6. Robos con violencia e intimidación,66.0,57.0,-13.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,120.0,117.0,-2.5,
    7.1.-Robos con fuerza en domicilios,57.0,91.0,59.6,
    8. Hurtos,884.0,1006.0,13.8,
    9. Sustracciones de vehículos,33.0,52.0,57.6,
    10. Tráfico de drogas,20.0,17.0,-15.0,
    11. Resto de criminalidad convencional,1715.0,1809.0,5.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),804.0,1004.0,24.9,
    12.-Estafas informáticas,693.0,863.0,24.5,
    13.-Otros ciberdelitos,111.0,141.0,27.0,
    III. TOTAL INFRACCIONES PENALES,3706.0,4126.0,11.3,
14038 Lucena,
    I. CRIMINALIDAD CONVENCIONAL,502.0,520.0,3.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,10.0,7.0,-30.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,5.0,5.0,0.0,
    5.1.-Agresión sexual con penetración,1.0,2.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,4.0,3.0,-25.0,
    6. Robos con violencia e intimidación,10.0,9.0,-10.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,26.0,28.0,7.7,
    7.1.-Robos con fuerza en domicilios,19.0,26.0,36.8,
    8. Hurtos,114.0,111.0,-2.6,
    9. Sustracciones de vehículos,5.0,4.0,-20.0,
    10. Tráfico de drogas,2.0,5.0,150.0,
    11. Resto de criminalidad convencional,329.0,351.0,6.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),122.0,116.0,-4.9,
    12.-Estafas informáticas,101.0,101.0,0.0,
    13.-Otros ciberdelitos,21.0,15.0,-28.6,
    III. TOTAL INFRACCIONES PENALES,624.0,636.0,1.9,
14042 Montilla,
    I. CRIMINALIDAD CONVENCIONAL,83.0,121.0,45.8,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,5.0,400.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,0.0,0.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4.0,4.0,0.0,
    7.1.-Robos con fuerza en domicilios,4.0,4.0,0.0,
    8. Hurtos,26.0,33.0,26.9,
    9. Sustracciones de vehículos,1.0,0.0,-100.0,
    10. Tráfico de drogas,3.0,0.0,-100.0,
    11. Resto de criminalidad convencional,47.0,79.0,68.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),68.0,30.0,-55.9,
    12.-Estafas informáticas,62.0,27.0,-56.5,
    13.-Otros ciberdelitos,6.0,3.0,-50.0,
    III. TOTAL INFRACCIONES PENALES,151.0,151.0,0.0,
14049 Palma del Río,
    I. CRIMINALIDAD CONVENCIONAL,176.0,179.0,1.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,4.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,2.0,4.0,100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,5.0,24.0,380.0,
    7.1.-Robos con fuerza en domicilios,5.0,10.0,100.0,
    8. Hurtos,47.0,47.0,0.0,
    9. Sustracciones de vehículos,0.0,1.0,100.0,
    10. Tráfico de drogas,0.0,0.0,0.0,
    11. Resto de criminalidad convencional,119.0,99.0,-16.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),58.0,71.0,22.4,
    12.-Estafas informáticas,49.0,61.0,24.5,
    13.-Otros ciberdelitos,9.0,10.0,11.1,
    III. TOTAL INFRACCIONES PENALES,234.0,250.0,6.8,
14055 Priego de Córdoba,
    I. CRIMINALIDAD CONVENCIONAL,120.0,69.0,-42.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,3.0,-40.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,2.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,2.0,0.0,-100.0,
    6. Robos con violencia e intimidación,1.0,0.0,-100.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18.0,4.0,-77.8,
    7.1.-Robos con fuerza en domicilios,17.0,3.0,-82.4,
    8. Hurtos,27.0,19.0,-29.6,
    9. Sustracciones de vehículos,0.0,1.0,100.0,
    10. Tráfico de drogas,0.0,1.0,100.0,
    11. Resto de criminalidad convencional,67.0,41.0,-38.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),30.0,50.0,66.7,
    12.-Estafas informáticas,24.0,46.0,91.7,
    13.-Otros ciberdelitos,6.0,4.0,-33.3,
    III. TOTAL INFRACCIONES PENALES,150.0,119.0,-20.7,
14056 Puente Genil,
    I. CRIMINALIDAD CONVENCIONAL,258.0,198.0,-23.3,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,6.0,5.0,-16.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,9.0,6.0,-33.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,30.0,23.0,-23.3,
    7.1.-Robos con fuerza en domicilios,18.0,22.0,22.2,
    8. Hurtos,72.0,47.0,-34.7,
    9. Sustracciones de vehículos,3.0,3.0,0.0,
    10. Tráfico de drogas,2.0,0.0,-100.0,
    11. Resto de criminalidad convencional,135.0,114.0,-15.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),35.0,79.0,125.7,
    12.-Estafas informáticas,31.0,77.0,148.4,
    13.-Otros ciberdelitos,4.0,2.0,-50.0,
    III. TOTAL INFRACCIONES PENALES,293.0,277.0,-5.5,
Provincia de GRANADA,
    I. CRIMINALIDAD CONVENCIONAL,8039.0,7328.0,-8.8,
    1. Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,8.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,82.0,91.0,11.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,71.0,61.0,-14.1,
    5.1.-Agresión sexual con penetración,11.0,6.0,-45.5,
    5.2.-Resto de delitos contra la libertad sexual,60.0,55.0,-8.3,
    6. Robos con violencia e intimidación,138.0,163.0,18.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,527.0,471.0,-10.6,
    7.1.-Robos con fuerza en domicilios,403.0,355.0,-11.9,
    8. Hurtos,2201.0,1944.0,-11.7,
    9. Sustracciones de vehículos,93.0,65.0,-30.1,
    10. Tráfico de drogas,230.0,242.0,5.2,
    11. Resto de criminalidad convencional,4686.0,4281.0,-8.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2170.0,2585.0,19.1,
    12.-Estafas informáticas,1955.0,2277.0,16.5,
    13.-Otros ciberdelitos,215.0,308.0,43.3,
    III. TOTAL INFRACCIONES PENALES,10209.0,9913.0,-2.9,
18017 Almuñécar,
    I. CRIMINALIDAD CONVENCIONAL,210.0,226.0,7.6,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,4.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,5.0,1.0,-80.0,
    5.1.-Agresión sexual con penetración,0.0,1.0,100.0,
    5.2.-Resto de delitos contra la libertad sexual,5.0,0.0,-100.0,
    6. Robos con violencia e intimidación,1.0,1.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,17.0,21.0,23.5,
    7.1.-Robos con fuerza en domicilios,15.0,18.0,20.0,
    8. Hurtos,42.0,46.0,9.5,
    9. Sustracciones de vehículos,8.0,5.0,-37.5,
    10. Tráfico de drogas,1.0,2.0,100.0,
    11. Resto de criminalidad convencional,134.0,146.0,9.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),51.0,75.0,47.1,
    12.-Estafas informáticas,49.0,67.0,36.7,
    13.-Otros ciberdelitos,2.0,8.0,300.0,
    III. TOTAL INFRACCIONES PENALES,261.0,301.0,15.3,
18021 Armilla,
    I. CRIMINALIDAD CONVENCIONAL,419.0,342.0,-18.4,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,4.0,100.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,3.0,2.0,-33.3,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,3.0,2.0,-33.3,
    6. Robos con violencia e intimidación,6.0,3.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,7.0,4.0,-42.9,
    7.1.-Robos con fuerza en domicilios,1.0,2.0,100.0,
    8. Hurtos,237.0,189.0,-20.3,
    9. Sustracciones de vehículos,0.0,1.0,100.0,
    10. Tráfico de drogas,2.0,7.0,250.0,
    11. Resto de criminalidad convencional,162.0,132.0,-18.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),78.0,97.0,24.4,
    12.-Estafas informáticas,71.0,84.0,18.3,
    13.-Otros ciberdelitos,7.0,13.0,85.7,
    III. TOTAL INFRACCIONES PENALES,497.0,439.0,-11.7,
18022 Atarfe,
    I. CRIMINALIDAD CONVENCIONAL,157.0,152.0,-3.2,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,2.0,0.0,-100.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,2.0,-33.3,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,1.0,0.0,-100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,1.0,0.0,-100.0,
    6. Robos con violencia e intimidación,5.0,8.0,60.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,8.0,4.0,-50.0,
    7.1.-Robos con fuerza en domicilios,6.0,3.0,-50.0,
    8. Hurtos,20.0,26.0,30.0,
    9. Sustracciones de vehículos,1.0,3.0,200.0,
    10. Tráfico de drogas,6.0,5.0,-16.7,
    11. Resto de criminalidad convencional,111.0,103.0,-7.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),39.0,51.0,30.8,
    12.-Estafas informáticas,37.0,45.0,21.6,
    13.-Otros ciberdelitos,2.0,6.0,200.0,
    III. TOTAL INFRACCIONES PENALES,196.0,203.0,3.6,
18023 Baza,
    I. CRIMINALIDAD CONVENCIONAL,178.0,190.0,6.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2.0,2.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,0.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,0.0,0.0,
    6. Robos con violencia e intimidación,4.0,4.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,15.0,31.0,106.7,
    7.1.-Robos con fuerza en domicilios,11.0,22.0,100.0,
    8. Hurtos,42.0,54.0,28.6,
    9. Sustracciones de vehículos,6.0,5.0,-16.7,
    10. Tráfico de drogas,0.0,1.0,100.0,
    11. Resto de criminalidad convencional,109.0,93.0,-14.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),44.0,61.0,38.6,
    12.-Estafas informáticas,43.0,56.0,30.2,
    13.-Otros ciberdelitos,1.0,5.0,400.0,
    III. TOTAL INFRACCIONES PENALES,222.0,251.0,13.1,
18905 Gabias (Las),
    I. CRIMINALIDAD CONVENCIONAL,225.0,183.0,-18.7,
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,1.0,-66.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,0.0,1.0,100.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,0.0,1.0,100.0,
    6. Robos con violencia e intimidación,4.0,2.0,-50.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10.0,15.0,50.0,
    7.1.-Robos con fuerza en domicilios,10.0,14.0,40.0,
    8. Hurtos,95.0,48.0,-49.5,
    9. Sustracciones de vehículos,1.0,1.0,0.0,
    10. Tráfico de drogas,3.0,7.0,133.3,
    11. Resto de criminalidad convencional,109.0,108.0,-0.9,
